Passengers,Years since 1990
725727,7
653038,7.083333
745798,7.166667
718150,7.25
781158,7.333333
795127,7.416667
819281,7.5
897085,7.583333
738083,7.666667
764115,7.75
760021,7.833333
747223,7.916667
649441,8
646388,8.083333
751903,8.166667
771455,8.25
804696,8.333333
817789,8.416667
834326,8.5
882187,8.583333
758714,8.666667
769816,8.75
770993,8.833333
773845,8.916667
690073,9
698621,9.083333
809801,9.166667
829614,9.25
846391,9.333333
858985,9.416667
892736,9.5
942458,9.583333
806481,9.666667
857422,9.75
847199,9.833333
799737,9.916667
729669,10
757506,10.08333
842180,10.16667
867809,10.25
891146,10.33333
931048,10.41667
960355,10.5
1013726,10.58333
882534,10.66667
929831,10.75
914716,10.83333
900278,10.91667
844497,11
793708,11.08333
974903,11.16667
1010985,11.25
1034431,11.33333
1096770,11.41667
1144485,11.5
1205921,11.58333
676551,11.66667
885680,11.75
877990,11.83333
870658,11.91667
838343,12
797153,12.08333
973479,12.16667
1000269,12.25
1081405,12.33333
1136052,12.41667
1161236,12.5
1284044,12.58333
1047201,12.66667
1112269,12.75
1062840,12.83333
1140614,12.91667
1022609,13
940305,13.08333
1055701,13.16667
1068668,13.25
1148742,13.33333
1219386,13.41667
1298741,13.5
1320196,13.58333
1081156,13.66667
1149515,13.75
1109733,13.83333
1133611,13.91667
984729,14
989779,14.08333
1138801,14.16667
1191234,14.25
1204232,14.33333
1295198,14.41667
1342773,14.5
1356100,14.58333
1108418,14.66667
1191259,14.75
1149876,14.83333
1145928,14.91667
1036080,15
1007775,15.08333
1227345,15.16667
1171402,15.25
1259784,15.33333
1319562,15.41667
1388601,15.5
1385783,15.58333
1169244,15.66667
1188663,15.75
1144490,15.83333
1128839,15.91667
1027963,16
995196,16.08333
1182653,16.16667
1198512,16.25
1235532,16.33333
