State,Percent Change
Alabama,5.9
Alaska,11.4
Arizona,28.6
Arkansas,8.1
California,9.1
Colorado,16.8
Connecticut,3.3
Delaware,13
District of Columbia,4.8
Florida,16
Georgia,20.1
Hawaii,6.9
Idaho,19.5
Illinois,4
Indiana,5.6
Iowa,2.8
Kansas,4.8
Kentucky,6.7
Louisiana,0.5
Maine,3.4
Maryland,7.6
Massachusetts,3.9
Michigan,0.3
Minnesota,7
Mississippi,3.8
Missouri,7
Montana,8.1
Nebraska,5
Nevada,32.3
New Hampshire,7.2
New Jersey,3.5
New Mexico,10.5
New York,3
North Carolina,16.6
North Dakota,0.7
Ohio,1.7
Oklahoma,6.9
Oregon,11.8
Pennsylvania,2.6
Rhode Island,0.5
South Carolina,13.7
South Dakota,7.6
Tennessee,10.7
Texas,18.8
Utah,24.7
Vermont,2.1
Virginia,11.4
Washington,13.1
West Virginia,0.6
Wisconsin,5.4
Wyoming,10.2
