Institution,Resident,Non-Res
Univ of Akron (OH),9545,17468
Athens State (AL),5340,9930
Ball State (IN),8558,22538
Bloomsburg U (PA),8082,17442
UC Irvine (CA),13122,36000
Central State (OH),5672,12648
Clarion U (PA),8828,15068
Dakota State,7621,9336
Fairmont State (WV),5326,11230
Johnson State (VT),9468,19908
Lock Haven U (PA),8239,15599
New College of Florida,6060,29088
Oakland U (MI),9938,23190
U Pittsburgh,16132,25540
Savannah State (GA),6032,17646
SE Louisiana,4634,14139
W Liberty University (WV),5266,13140
W Texas College,2370,3750
Worcester State (MA),7653,13733
