calories,protein,fat,fiber
70,4,1,10
120,3,5,2
70,4,1,9
50,4,0,14
110,2,2,1
110,2,2,1.5
110,2,0,1
130,3,2,2
90,2,1,4
90,3,0,5
120,1,2,0
110,6,2,2
120,1,3,0
110,3,2,2
110,1,1,0
110,2,0,0
100,2,0,1
110,1,0,1
110,1,1,0
110,3,3,4
100,3,0,1
110,2,0,1
100,2,1,2
100,2,0,1
110,2,1,1
110,1,0,1
100,3,0,3
120,3,2,5
120,3,0,5
110,1,1,0
100,2,0,0
110,1,1,0
100,3,1,3
110,3,0,3
120,3,3,3
120,1,2,1
110,3,1,1.5
110,1,0,0
110,2,1,1
140,3,1,2
110,2,1,0
100,4,2,2
110,2,1,0
100,4,1,0
150,4,3,3
150,4,3,3
160,3,2,3
100,2,1,2
120,2,1,0
140,3,2,3
90,3,0,3
130,3,2,1.5
120,3,1,6
100,3,0,1
50,1,0,0
50,2,0,1
100,4,1,2
100,5,2,2.7
120,3,1,5
100,3,2,2.5
90,2,0,2
110,1,0,0
110,2,0,0
80,2,0,3
90,3,0,4
90,3,0,3
110,2,1,1
110,6,0,1
90,2,0,3
110,2,1,0
140,3,1,4
100,3,1,3
110,2,1,0
110,1,1,0
100,3,1,3
100,3,1,3
110,2,1,1
