year,Temp,CO2
1959,0.06,315.97
1960,-0.01,316.91
1961,0.07,317.64
1962,0.04,318.45
1963,0.08,318.99
1964,-0.21,319.62
1965,-0.12,320.04
1966,-0.03,321.38
1967,0,322.16
1968,-0.05,323.04
1969,0.08,324.62
1970,0.03,325.68
1971,-0.11,326.32
1972,-0.01,327.45
1973,0.14,329.68
1974,-0.08,330.18
1975,-0.04,331.08
1976,-0.15,332.05
1977,0.13,333.78
1978,0.04,335.41
1979,0.1,336.78
1980,0.2,338.68
1981,0.27,340.1
1982,0.05,341.44
1983,0.26,343.03
1984,0.1,344.58
1985,0.05,346.04
1986,0.13,347.39
1987,0.28,349.16
1988,0.33,351.56
1989,0.21,353.07
1990,0.36,354.35
1991,0.35,355.57
1992,0.13,356.38
1993,0.14,357.07
1994,0.24,358.82
1995,0.39,360.8
1996,0.3,362.59
1997,0.41,363.71
1998,0.58,366.65
1999,0.33,368.33
2000,0.35,369.52
2001,0.49,371.13
2002,0.57,373.22
2003,0.56,375.77
2004,0.49,377.49
2005,0.62,379.8
2006,0.55,381.9
2007,0.58,383.76
2008,0.44,385.59
2009,0.57,387.38
2010,0.63,389.78
2011,0.51,391.57
